ISO3,country_name,year,ag_harvester,ag_milkingmachine,ag_tractor,atm,aviationpkm,aviationtkm,bed_acute,bed_hosp,bed_longterm,cabletv,cellphone,cheque,computer,creditdebit,eft,elecprod,fert_total,internetuser,irrigatedarea,kidney_dialpat,kidney_homedialpat,loom_auto,loom_total,mail,med_catscanner,med_lithotriptor,med_mammograph,med_mriunit,med_radiationequip,newspaper,pctdaysurg_cataract,pctdaysurg_cholecyst,pctdaysurg_hernia,pctdaysurg_lapcholecyst,pctdaysurg_tonsil,pctdaysurg_varicosevein,pcthomedialysis,pctimmunizdpt,pctimmunizmeas,pctirrigated,pctmvbyarea,pest_total,pos,radio,railline,railp,railpkm,railt,railtkm,ship_all,ship_motor,ship_sail,ship_steam,ship_steammotor,shipton_all,shipton_motor,shipton_sail,shipton_steam,shipton_steammotor,spindle_mule,spindle_ring,steel_acidbess,steel_basicbess,steel_bof,steel_eaf,steel_ohf,steel_other,steel_stainless,surg_appendectomy,surg_breastcnsv,surg_cardcath,surg_cataract,surg_cholecyst,surg_corbypass,surg_corinterven,surg_corstent,surg_csection,surg_hernia,surg_hipreplace,surg_hysterectomy,surg_kneereplace,surg_lapcholecyst,surg_mastectomy,surg_pacemaker,surg_prostatetrans,surg_prostatextrans,surg_tonsil,surg_varicosevein,telegram,telephone,transplant_bonemarrow,transplant_heart,transplant_kidney,transplant_liver,transplant_lung,tv,txtlmat_artif,txtlmat_otherraw,txtlmat_synth,txtlmat_totalraw,vehicle_car,vehicle_com,visitorbeds,visitorrooms,xlpopulation,xlrealgdp,pctivprimeenroll,pctivsecenroll,pctivprivateinv,pctivpublicinv,pctivliteracy,INV
USA,UNITED STATES OF AMERICA,2000,0.6353159986871376,,1.0,1.0,,,1.0,0.3176885917934316,1.0,0.9002590673575129,1.0,1.0,1.0,1.0,,,0.5492718392692442,1.0,0.40874833482362816,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,0.9333333333333332,0.8769230769230771,0.05421698735401313,,,1.0,,,,,,,,,,,,,,,,,,,,,0.6740988201143601,1.0,,,,1.0,0.558787825603674,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,0.2131595807063519,1.0,,,,,0.996437054631829,0.9023648102119519
CHN,CHINA,2000,0.19193702866992068,3.061255727099256e-05,0.20606831568708292,,,,,1.0,,1.0,0.7554545454545455,0.010837708830548926,0.12483372887057333,0.026613974959781773,,1.0,1.0,0.17660999049759235,0.9927370937425866,,,,,0.3689144477706003,,,,,,,,,,,,,,0.8666666666666667,0.7692307692307693,0.09912001612062064,0.0,0.00023085700716975904,,,,,,,,,,,,,,,,,,,,,,1.0,0.42214048360467304,0.10933432502789141,1.0,,,,,,,,,,,,,,,,,,,,,,,0.7540025821014228,,,,,,,,,,,,,1.0,0.23119994243418043,1.0,0.5568902948295624,,,,,0.8230403800475059,0.5339963366934816
JPN,JAPAN,2000,1.0,0.5442130361874441,0.42249771405345143,0.4279365925860577,,,,0.6570861120948076,0.13625378800149607,0.2422279792746114,0.6072727272727273,0.005391408114558472,0.2484377657440693,0.07811662120258328,,0.779341510936938,0.0424385376933355,0.3064491594788731,0.04817606160696363,1.0,0.021258682382656283,,,,,,,,,,,,,,,,0.0025906735751295338,0.8133333333333334,0.9538461538461538,0.5044699220920005,,,,,,,,,,,,,,,,,,,,,,,,0.9472492273813545,0.640744843152417,,,,,,,,,,,,,,,,,,,,,,,,,0.3973829062142318,0.04351921627731726,0.0013673655423883319,0.054653318502039305,0.0008051529790660225,0.0031380753138075313,0.38977470670705816,,,,,,,,0.38339470028575573,0.09734283068389041,0.32900530359905156,,,,,0.996437054631829,0.3860633082572764
FRA,FRANCE,2000,0.08733030197754699,0.6802688462807444,0.2633304173495687,0.12412000905020665,,,0.29399154938140254,0.14975119725013458,0.04774958107427575,0.03912458549222798,0.26454545454545453,0.10724821002386635,0.11116896097501094,0.12790950704499,1.0,0.3939246833734564,0.12112583772384601,0.06822251030452321,0.04804832204967244,,,,,,0.1507034632034632,0.06642512077294686,0.7223983857019314,0.06742556917688267,0.3066322136089578,,0.26895734597156395,0.0,0.0,,0.3021148036253776,0.10403120936280884,,0.9733333333333333,0.7692307692307693,0.08863391240562762,,0.6430225118561563,0.26297390717323516,,0.1993258823210265,,,,,,,,,,,,,,,,,,,0.15559976477359458,0.17643001943614287,,,,0.4668807588255138,1.0,0.18380285802474286,1.0,1.0,0.850132481579616,0.08459835990122587,1.0,0.15402635809023846,0.9271232462541209,0.37472084356472785,0.16998795631888428,0.143213462764132,1.0,0.1849550074448113,0.08591051727880952,0.4608145210494204,0.39791845698462713,1.0,1.0,,,0.2271414217533283,0.14949863263445762,0.1421579532814238,0.16203703703703703,0.07322175732217573,0.1567025460743373,,,,,0.13187597423329014,,0.6347698369279611,0.14362891511602804,0.04528258248564562,0.15176142153087654,,,,,0.996437054631829,0.35348803204417917
DEU,GERMANY,2000,0.12955687055061527,0.8503386088973697,0.21474689170644634,0.17373318770298596,,,0.6325111712314193,0.2332935955931427,,0.26424870466321243,0.4381818181818182,0.010420047732696898,0.17141816487817232,0.06301632821182376,0.3530796286440802,,0.0801522135314685,0.1999971700035373,0.008832277961276665,0.2550134646643538,0.619869501157651,,,,,,,,,,,,,,,,0.14507772020725387,0.8666666666666667,0.8923076923076926,0.028378292564263725,,0.37499752653206603,0.19060766386353237,,0.296720288636302,,,,,,,,,,,,,,,,,,,0.41258461268971386,0.2784384208656398,,,,,,,,,,,,,,,,,,,,,,,,,0.25754304290696806,,0.19051959890610756,0.16403411197626994,0.1568035426731079,0.16527196652719664,0.19865553498822705,,,,,,,0.8885650145662597,0.21385336083158216,0.06289606406906677,0.18974225340262832,,,,,0.996437054631829,0.3153651371655255
IND,INDIA,2000,0.004028798519766833,,0.31770563258479567,,,,,,,0.5064766839378239,0.03263233636363636,,0.028658769411063083,,,0.4086352493109939,0.48811405318647766,0.04450599092386658,1.0,,,,,1.0,,,,,,,,,,,,,,0.5333333333333333,0.33846153846153854,0.30338938049114894,0.0,,,,,,,,,,,,,,,,,,,,,,,0.16669794677376976,0.22986896277874147,0.15272096194372134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335956225979139,,,,,0.029039809754540163,,0.08286247887824978,0.018744991956640252,0.7691498514591256,0.22772308527438012,,,,,0.4750593824228028,0.3122402276560648
ITA,ITALY,2000,0.04894251236566673,0.510199083664119,0.34294635749599844,0.11542275521209558,,,0.30109614858497735,,,0.000782519170984456,0.38636363636363635,0.014367541766109786,0.06458452496741195,0.022914675184382116,0.0989993088796537,0.1982741564042081,0.050612665016839226,0.10725490644547965,0.04925272358984653,,,,,,0.3198051948051948,,,0.18957968476357268,0.18087855297157623,,0.33767772511848343,0.00784313725490196,0.14798850574712646,,0.08308157099697885,0.23797139141742527,,0.9466666666666667,0.6,0.17327837121729187,,,0.1836474681434874,,0.11424734828961289,,,,,,,,,,,,,,,,,,,0.13261514207424646,0.33609897803506866,,,,0.2523597542019169,0.6549807672619309,0.015595672086291324,0.8904179924960608,0.8895414859355512,1.0,0.0496522094107571,,0.20863562872954566,1.0,0.23313339422966717,0.10123270618478449,0.07103679462666078,0.8632420693204785,0.19321982693511144,0.20409586400626287,0.2208816351433801,0.4469588465578153,0.6438181143119226,0.5450611160421635,,,0.18789248932429037,0.13217866909753875,0.09944382647385984,0.1360708534621578,0.058577405857740586,,,,,,,,0.9989953188542108,0.23557909141135047,0.044044917889268474,0.12644086694970869,,,,,0.9833729216152018,0.3015229405259097
RUS,RUSSIAN FEDERATION,2000,0.19193702866992068,,0.16353835567265787,0.013226748418761664,,,,0.497060198126827,,0.14507772020725387,0.029387036363636362,1.909307875894988e-05,0.05721000998714872,0.0008199078283711422,,0.6440043043115933,0.04149458233920904,0.023164149298431008,0.08392488914031278,,,,,,,,,,,,,,,,,,,0.9466666666666667,0.9692307692307692,0.021144614067641607,,,0.006468293888554252,,1.0,,,,,,,,,,,,,,,,,,,0.42819964215557477,0.17992016552070053,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.16986041848129324,,,,,,,,,,,0.0900895825116908,,0.18619479710992473,0.044651318220679546,0.1116593873959003,0.09681683091192553,,,,,0.994061757719715,0.29056529526156855
GBR,UNITED KINGDOM,2000,0.0451037334044787,0.5340088504304465,0.10416312064568589,0.12042025981653165,,,0.2761090676961425,0.07366679344358842,0.1341710866152863,0.0433885621761658,0.3890909090909091,0.06441527446300715,0.12359147724370402,0.14718316974034956,0.7343563692499846,,0.051547852983775656,0.12580335915709118,0.0019525903757367836,,,,,,,,,,0.2446167097329888,,0.8175355450236966,0.047058823529411764,0.4540229885057472,,,0.5812743823146945,,0.9066666666666667,0.8307692307692309,0.006328143633529891,,,0.23791655683298948,,0.09718416840734612,,,,,,,,,,,,,,,,,,,0.14356317956032683,0.07529937929737299,,,,,,,0.5535580118565065,0.3964852839883091,0.8622191571993757,0.022225179398310275,,,0.7064056422213049,0.2670350547546028,0.057050613822907284,0.11301294307986469,,,,,,,0.3028188215365159,,0.18835825849341623,,0.10802187784867821,0.1257693733778272,0.13486312399355876,0.10251046025104603,,,,,,,,0.598469801623983,,0.04545294989526879,0.15176142153087654,,,,,0.996437054631829,0.2857318104415449
BRA,BRAZIL,2000,0.051821596586557744,,0.16791337299043477,,,,,,,0.030248173575129534,0.2109090909090909,,0.05287666984839866,,,0.2563808918574811,0.19194294652010713,0.040390629591652016,0.05308491030858228,,,,,,,,,,,,,,,,,,,1.0,1.0,0.011094027120044123,0.5650574424331765,,,,,,,,,,,,,,,,,,,,,,,0.2702601253706693,0.12004430604610336,,0.017356845650881712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133582456502332,0.1251704081235986,,,,,0.8266033254156769,0.26972301151841666
