tech,n_countries
cellphone,140
pctimmunizdpt,139
pctimmunizmeas,139
ag_tractor,138
internetuser,138
fert_total,135
xlpopulation,134
pctirrigated,132
irrigatedarea,132
pctivliteracy,125
computer,122
visitorrooms,117
ag_harvester,107
visitorbeds,106
xlrealgdp,102
cabletv,100
elecprod,82
pctmvbyarea,75
steel_eaf,72
telephone,67
tv,65
ag_milkingmachine,50
pest_total,46
steel_bof,42
bed_hosp,39
vehicle_car,37
cheque,37
creditdebit,36
atm,31
pos,29
eft,27
transplant_kidney,25
transplant_liver,24
transplant_heart,24
transplant_lung,21
surg_hipreplace,20
surg_corinterven,20
surg_hysterectomy,20
bed_acute,19
surg_corbypass,19
transplant_bonemarrow,19
surg_appendectomy,18
surg_mastectomy,17
surg_prostatetrans,17
surg_csection,17
med_catscanner,16
bed_longterm,16
railline,16
med_mriunit,16
surg_kneereplace,16
surg_cholecyst,15
med_radiationequip,15
surg_cataract,14
surg_breastcnsv,14
surg_hernia,14
surg_prostatextrans,14
pctdaysurg_cataract,13
pctdaysurg_hernia,13
pctdaysurg_varicosevein,13
kidney_dialpat,13
surg_varicosevein,13
surg_cardcath,13
med_lithotriptor,12
surg_tonsil,12
surg_pacemaker,12
pctdaysurg_tonsil,11
surg_lapcholecyst,10
kidney_homedialpat,10
pctdaysurg_cholecyst,10
pcthomedialysis,10
surg_corstent,9
med_mammograph,9
steel_ohf,8
vehicle_com,8
pctdaysurg_lapcholecyst,7
steel_other,6
mail,3
telegram,2
radio,1
railpkm,0
railp,0
loom_total,0
newspaper,0
loom_auto,0
aviationpkm,0
aviationtkm,0
steel_stainless,0
shipton_motor,0
shipton_sail,0
shipton_steam,0
shipton_steammotor,0
spindle_mule,0
spindle_ring,0
steel_acidbess,0
steel_basicbess,0
railt,0
railtkm,0
ship_all,0
ship_motor,0
ship_sail,0
ship_steam,0
ship_steammotor,0
shipton_all,0
txtlmat_totalraw,0
txtlmat_artif,0
txtlmat_otherraw,0
txtlmat_synth,0
pctivprimeenroll,0
pctivsecenroll,0
pctivprivateinv,0
pctivpublicinv,0
